id_corrida,id_piscina,numero_corrida,fecha_desde,fecha_hasta,fecha_siembra,fecha_pesca,dias_ciclo,dias_secos,cantidad_larvas_sembradas,laboratorio_larvas,laboratorio_nauplio,costo_transferencia,peso_inicial,ultimo_peso_registrado,peso_finca,libras_finca,id_cliente,codigo_larva,estado_ciclo,tipo_proceso,hectareas_corrida,corrida_origen
"BIO3,CP1,PJF-008,10",26,10,2024-04-20,2024-06-27,2024-04-23,2024-06-27,66,3,1593190.000000,LARVAFER,TEXCUMAR,9211.650000,0.650000,17.190000,19.140000,45750.000000,,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 45, 100.00%); (CP1, PJF-102, 45, 100.00%)"
"BIO3,CP1,PJF-008,11",26,11,2024-06-28,2024-08-28,2024-07-04,2024-08-28,56,6,1144726.000000,MC CANDELL,TEXCUMAR,10483.160000,1.120000,2.680000,18.780000,36600.000000,12,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 47, 100.00%); (CP1, PJF-102, 47, 100.00%)"
"BIO3,CP1,PJF-008,12",26,12,2024-08-29,2024-11-27,2024-09-09,2024-11-27,80,11,1304100.000000,MC CANDELL,TEXCUMAR,7241.760000,0.300000,12.880000,20.000000,43050.000000,10,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 50, 90.00%); (CP1, PJF-102, 50, 100.00%)"
"BIO3,CP1,PJF-008,13",26,13,2024-11-28,2025-02-12,2024-12-09,2025-02-12,66,11,1352400.000000,MC CANDELL,TEXCUMAR,8252.580000,0.360000,19.800000,20.000000,32665.000000,10,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-006, 18, 39.00%)"
"BIO3,CP1,PJF-008,14",26,14,2025-02-13,2025-05-15,2025-03-03,2025-05-15,74,18,966000.000000,PLUSLARVA 1,TEXCUMAR,13510.090000,0.850000,21.470000,27.500000,35400.000000,10,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 55, 47.15%)"
"BIO3,CP1,PJF-008,15",26,15,2025-05-16,2025-07-24,2025-05-23,2025-07-24,63,7,1738800.000000,PLUSLARVA 1,TEXCUMAR,5851.330000,0.140000,19.200000,19.300000,46000.000000,12,PMP17G2BC,Cerrado,ENTERO,9.660000,"(CP1, PJF-102, 59, 35.52%)"
"BIO3,CP1,PJF-008,16",26,16,2025-07-25,2025-10-08,2025-08-08,2025-10-08,62,14,1545600.000000,PLUSLARVA 1,TEXCUMAR,6771.100000,0.240000,14.100000,17.000000,35100.000000,42,OMTP44GO,Cerrado,ENTERO,9.660000,"(CP1, PJF-102, 62, 38.00%)"
"BIO3,CP1,PJF-008,17",26,17,2025-10-09,2025-12-15,2025-10-13,2025-12-15,64,4,1449000.000000,PLUSLARVA 1,TEXCUMAR,6202.790000,0.320000,21.960000,21.000000,33550.000000,10,LNE4GG2,Cerrado,ENTERO,9.660000,"(CP1, PJF-102, 65, 38.00%)"
"BIO3,CP1,PJF-008,18",26,18,2025-12-16,2026-02-23,2025-12-19,2026-02-23,67,3,1497300.000000,PLUSLARVA 1,TEXCUMAR,6748.740000,0.330000,23.000000,23.800000,42400.000000,44,NICO4HPBV17ZG,Cerrado,COLA,9.660000,"(CP1, PJF-101, 67, 37.00%)"
"BIO3,CP1,PJF-008,19",26,19,2026-02-24,2026-04-30,2026-03-01,2026-04-30,61,5,1526315.000000,PLUSLARVA 1,TEXCUMAR,12627.570000,0.380000,15.100000,15.000000,27400.000000,19,NC51GROR2G,Cerrado,COLA,9.660000,"(CP1, PJF-101, 70, 10.00%); (CP1, PJF-102, 70, 41.00%)"
"BIO3,CP1,PJF-008,20",26,20,2026-05-01,2026-06-27,2026-05-06,2026-06-27,53,5,1271794.000000,PLUSLARVA 1,TEXCUMAR,6533.020000,0.390000,20.000000,20.000000,40100.000000,19,NCK67G,Cerrado,COLA,9.660000,"(CP1, PJF-101, 72, 61.00%)"
"BIO3,CP1,PJF-009,01",29,01,2021-10-19,2022-02-07,2021-10-26,2022-02-07,105,7,603000.000000,PLUSLARVA 1,TEXCUMAR,0.000000,0.070000,0.000000,22.000000,26250.000000,,"",Cerrado,ENTERO,6.030000,""
"BIO3,CP1,PJF-009,02",29,02,2022-02-08,2022-05-29,2022-02-15,2022-05-29,104,7,994950.000000,BUBBALAB,TEXCUMAR,5995.740000,0.080000,0.000000,26.100000,36550.000000,,"",Cerrado,ENTERO,6.030000,"(CP1, PJF-101, 03, 100.00%)"
"BIO3,CP1,PJF-009,03",29,03,2022-05-30,2022-09-07,2022-06-01,2022-09-07,99,2,832140.000000,ECUACUBA,TEXCUMAR,3193.930000,0.100000,0.000000,25.360000,32400.000000,,"",Cerrado,ENTERO,6.030000,"(CP1, PJF-102, 10, 92.00%)"
"BIO3,CP1,PJF-009,04",29,04,2022-09-08,2022-12-29,2022-09-13,2022-12-29,108,5,1206000.000000,TIBALLOSA,TEXCUMAR,4225.150000,0.040000,0.000000,26.000000,45800.000000,,"",Cerrado,ENTERO,6.030000,"(CP1, PJF-102, 17, 91.00%)"
"BIO3,CP1,PJF-009,05",29,05,2022-12-30,2023-04-21,2023-01-02,2023-04-21,110,3,1567800.000000,ECUACUBA,TEXCUMAR,6068.230000,0.030000,0.000000,23.160000,43600.000000,,"",Cerrado,ENTERO,6.030000,"(CP1, PJF-102, 24, 100.00%)"
"BIO3,CP1,PJF-009,06",29,06,2023-04-22,2023-08-15,2023-04-28,2023-08-15,110,6,964800.000000,MBL - BUSTE,TEXCUMAR,3017.890000,0.040000,0.000000,22.500000,31650.000000,,"",Cerrado,ENTERO,6.030000,"(CP1, PJF-101, 31, 4.00%); (CP1, PJF-102, 31, 34.00%)"
"BIO3,CP1,PJF-009,07",29,07,2023-08-16,2023-11-17,2023-08-23,2023-11-17,87,7,542700.000000,MBL - BUSTE,TEXCUMAR,1634.070000,0.080000,0.000000,23.000000,30350.000000,,"",Cerrado,ENTERO,6.030000,"(CP1, PJF-101, 37, 18.00%)"
"BIO3,CP1,PJF-008,04",26,04,2022-10-15,2023-01-13,2022-10-16,2023-01-13,90,1,1738800.000000,PLUSLARVA 1,TEXCUMAR,6302.640000,0.020000,0.000000,21.100000,58600.000000,,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 19, 78.00%)"
"BIO3,CP1,PJF-008,05",26,05,2023-01-14,2023-05-17,2023-01-20,2023-05-17,118,6,2463300.000000,MBL - BUSTE,TEXCUMAR,6453.840000,0.020000,0.000000,24.220000,53600.000000,,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 26, 69.00%); (CP1, PJF-102, 26, 12.00%)"
"BIO3,CP1,PJF-008,06",26,06,2023-05-18,2023-08-19,2023-05-19,2023-08-19,93,1,1255800.000000,BUBBALAB,TEXCUMAR,5955.050000,0.100000,0.000000,24.300000,43300.000000,,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-101, 32, 66.00%)"
"BIO3,CP1,PJF-008,07",26,07,2023-08-20,2023-11-16,2023-08-30,2023-11-16,79,10,966000.000000,TIBALLOSA,TEXCUMAR,3049.040000,0.040000,0.000000,23.080000,37400.000000,,"",Cerrado,ENTERO,9.660000,"(CP1, PJF-102, 37, 28.00%)"
