id,codigo_piscina,horario,fecha,estado,tipo_sobrante,sobrante_kilo,m_viejo,m_rojo,m_fresco,suelo_danado,muda,oxigeno_bajo,observacion,id_corrida,id_sector,heces,balanceado_en_tolva
25950,BSP-013,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,poco balanceado en rastrillo,"BIO2,CP5,BSP-013,15",7,false,false
25951,BSP-014,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,poco balanceado en rastrillo,"BIO2,CP5,BSP-014,14",7,false,false
25952,BA1-002,AM,2025-11-01,,0,200.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-002,18",4,false,false
25953,BA1-005,AM,2025-11-01,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-005,19",4,false,false
25954,BA1-007,AM,2025-11-01,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-007,19",4,false,false
25955,BA1-008,AM,2025-11-01,,0,100.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-008,17",4,false,false
25956,BA1-011,AM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,poco balanceado viejo,"BIO2,CP2,BA1-011,29",4,false,false
25957,BA1-013,AM,2025-11-01,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-013,18",4,false,false
25958,BA1-014,AM,2025-11-01,,0,150.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-014,18",4,false,false
25959,BA1-015,AM,2025-11-01,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-015,18",4,false,false
25960,BA1-023,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,true,false,poca muda ,"BIO2,CP2,BA1-023,18",4,false,false
25961,BA1-027,AM,2025-11-01,,0,0.00,1.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-027,18",4,false,false
25962,BA1-039,AM,2025-11-01,,0,75.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-039,17",4,false,false
25963,BA1-040,AM,2025-11-01,,0,25.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-040,19",4,false,false
25964,BA1-002,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,se tiro UC al agua ambos sectores,"BIO2,CP2,BA1-002,18",4,false,false
25965,BA1-008,PM,2025-11-01,,0,0.00,1.0,2.0,0.0,false,false,false,,"BIO2,CP2,BA1-008,17",4,false,false
25966,BA1-011,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,pepas de balanceado,"BIO2,CP2,BA1-011,29",4,false,false
25967,BA1-013,PM,2025-11-01,,0,0.00,1.0,1.0,0.0,false,false,false,,"BIO2,CP2,BA1-013,18",4,false,false
25968,BA1-014,PM,2025-11-01,,0,0.00,3.0,0.0,1.0,false,false,false,se tiro UC al agua ambos sectores,"BIO2,CP2,BA1-014,18",4,false,false
25969,BA1-017,PM,2025-11-01,,0,0.00,1.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-017,18",4,false,false
25970,BA1-020,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,"pepas de balanceado fresco, se tiro UC al agua","BIO2,CP2,BA1-020,18",4,false,false
25971,BA1-022,PM,2025-11-01,,0,0.00,0.0,1.0,0.0,false,false,false,,"BIO2,CP2,BA1-022,18",4,false,false
25972,BA1-026,PM,2025-11-01,,4,0.00,0.0,0.0,0.0,false,false,false,"ful balanceado fresco en suelo, se apago equipos, se tiro UC al agua","BIO2,CP2,BA1-026,18",4,false,false
25973,BA1-029,PM,2025-11-01,,0,0.00,1.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-029,17",4,false,false
25974,BA1-033,PM,2025-11-01,,4,0.00,0.0,0.0,0.0,false,false,false,"ful balanceado en suelo, se apago equipos","BIO2,CP2,BA1-033,18",4,false,false
25975,BA1-040,PM,2025-11-01,,0,0.00,1.0,0.0,0.0,false,false,false,,"BIO2,CP2,BA1-040,19",4,false,false
25976,BA2-043,AM,2025-11-01,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP4,BA2-043,16",6,false,false
25977,BA2-044,AM,2025-11-01,,0,150.00,0.0,0.0,0.0,false,true,false,poca muda ,"BIO2,CP4,BA2-044,16",6,false,false
25978,BA2-046,AM,2025-11-01,,0,50.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP4,BA2-046,16",6,false,false
25979,BA2-048,AM,2025-11-01,,0,25.00,0.0,0.0,0.0,false,true,false,poca muda ,"BIO2,CP4,BA2-048,17",6,false,false
25980,BA2-049,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,true,false,poca muda,"BIO2,CP4,BA2-049,17",6,false,false
25981,BA2-050,AM,2025-11-01,,0,50.00,0.0,0.0,0.0,false,true,false,poca muda,"BIO2,CP4,BA2-050,17",6,false,false
25982,BA2-202,AM,2025-11-01,,0,35.00,0.0,0.0,0.0,false,false,false,,"BIO2,CP4,BA2-202,26",6,false,false
25983,BA2-203,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,true,false,poca muda,"BIO2,CP4,BA2-203,27",6,false,false
25984,BA2-204,AM,2025-11-01,,0,8.00,0.0,0.0,0.0,false,true,false,poca muda,"BIO2,CP4,BA2-204,26",6,false,false
25985,BA2-205,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,true,false,poca muda,"BIO2,CP4,BA2-205,27",6,false,false
25986,BA2-047,PM,2025-11-01,,3,0.00,0.0,0.0,0.0,false,false,false,"balanceado en suelo, se apago equipos","BIO2,CP4,BA2-047,16",6,false,false
25987,BA2-202,PM,2025-11-01,,1,0.00,0.0,0.0,0.0,false,false,false,pepas de balanceado fresco en suelo,"BIO2,CP4,BA2-202,26",6,false,false
25988,BSF-003,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Ayuno por pesca,"BIO2,CP1,BSF-003,18",3,false,false
25989,BSF-020,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Sin novedad,"BIO2,CP1,BSF-020,17",3,false,false
25990,BSF-022,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Sin novedad,"BIO2,CP1,BSF-022,18",3,false,false
25991,BSF-026,AM,2025-11-01,,2,0.00,0.0,0.0,0.0,false,false,false,Balanceado 2,"BIO2,CP1,BSF-026,18",3,false,false
25992,BSF-027,AM,2025-11-01,,3,0.00,0.0,0.0,0.0,false,false,false,Balanceado 3 ,"BIO2,CP1,BSF-027,17",3,false,false
25993,BSF-031,AM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Sin novedad,"BIO2,CP1,BSF-031,18",3,false,false
25994,BSF-001,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Sin novedad,"BIO2,CP1,BSF-001,17",3,false,false
25995,BSF-002,PM,2025-11-01,,0,0.00,0.0,3.0,0.0,false,false,false,,"BIO2,CP1,BSF-002,19",3,false,false
25996,BSF-003,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Ayuno por pesca,"BIO2,CP1,BSF-003,18",3,false,false
25997,BSF-004,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Sin novedad,"BIO2,CP1,BSF-004,18",3,false,false
25998,BSF-006,PM,2025-11-01,,0,0.00,0.0,0.0,0.0,false,false,false,Sin novedad,"BIO2,CP1,BSF-006,17",3,false,false
