id,id_empresa,id_sector,codigo_piscina,hectareaje,descripcion,id_organizacion,estado
325,2,7,BSP-016,2.90,PISCINA 16,1,activa
306,2,7,BSP-053,10.20,PISCINA 53,1,inactiva
307,2,7,BSP-054,15.80,PISCINA 54,1,inactiva
290,2,6,BA2-051,10.50,PISCINA 51,1,inactiva
291,2,6,BA2-052,7.44,PISCINA 52,1,inactiva
286,2,6,BA2-053,2.79,PISCINA 53,1,inactiva
287,2,6,BA2-054,1.80,PISCINA 54,1,inactiva
288,2,6,BA2-055,8.55,PISCINA 55,1,inactiva
289,2,6,BA2-056,2.14,PISCINA 56,1,inactiva
236,2,5,BSS-036,2.93,PISCINA 36,1,inactiva
311,2,6,BA2-207,0.38,PISCINA 207,1,inactiva
87,2,6,BA2-041,8.20,PISCINA 41,1,inactiva
93,2,6,BA2-043,8.47,PISCINA 43,1,inactiva
112,2,6,BA2-049,2.14,PISICNA 49,1,inactiva
71,2,6,BA2-201,2.00,PRE 201,1,inactiva
85,2,6,BA2-206,1.80,PRE 206,1,inactiva
347,2,12,BCE-103,0.66,,1,activa
349,3,9,PL1-107,1.50,,1,activa
350,3,9,PL1-108,1.10,,1,activa
351,3,9,PL1-050,4.18,,1,activa
352,3,9,PL1-051,4.16,,1,activa
353,3,9,PL1-052,5.80,,1,activa
354,3,9,PL1-053,4.47,,1,activa
355,3,9,PL1-054,4.50,,1,activa
326,2,12,BCE-001,3.14,,1,activa
327,2,12,BCE-002,5.04,,1,activa
328,2,12,BCE-003,3.09,,1,activa
329,2,12,BCE-004,6.83,,1,activa
330,2,12,BCE-005,4.03,,1,activa
331,2,12,BCE-006,6.00,,1,activa
332,2,12,BCE-007,5.70,,1,activa
333,2,12,BCE-008,6.72,,1,activa
334,2,12,BCE-009,5.26,,1,activa
335,2,12,BCE-010,2.94,,1,activa
336,2,12,BCE-011,5.81,,1,activa
337,2,12,BCE-012,3.91,,1,activa
339,2,12,BCE-013,2.62,,1,activa
340,2,12,BCE-014,4.43,,1,activa
341,2,12,BCE-015,3.63,,1,activa
342,2,12,BCE-016,2.00,,1,activa
343,2,12,BCE-017,2.43,,1,activa
345,2,12,BCE-101,1.06,,1,activa
346,2,12,BCE-102,1.15,,1,activa
348,2,12,BCE-104,1.70,,1,activa
356,2,12,BCE-105,1.00,,1,activa
344,2,12,NULA,0.00,,1,inactiva
338,2,12,NULA,0.00,,1,inactiva
357,3,10,PL2-014,3.00,,1,activa
358,3,10,PL2-015,2.52,,1,activa
240,2,5,BSS-040,7.03,PISCINA 40 -,1,activa
